Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,label,processed
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech,di saat cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1,0,0,0,0,0,0,0,0,0,0,Abusive,telat tau edan sarap gue gaul cigax jifla cal licew
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,0,0,0,0,0,0,0,0,0,0,Normal,kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,0,0,0,0,0,0,0,0,0,0,Normal,ku tau mata sipit
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,Hate Speech,kaum cebong kafir dongok dungu haha
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech,bani taplak dan kawan kawan
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,Normal,deklarasi pilih kepala daerah aman anti hoaks warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,1,0,0,0,0,0,0,0,0,0,0,Abusive,gue selesai re watch aldnoah zero kampret karakter utama cowok kena friendzone bro xd
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",0,0,0,0,0,0,0,0,0,0,0,0,Normal,admin belanja port baik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertua taipan kembar baby amp romantika bank islam senawang
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech,gue jari gue ukur nyali bacot
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech,banci kaleng malu nyungsep koe
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,0,0,0,0,0,0,Normal,ajar ekonomi mesti jago privatisasi hati orang aduh ironi
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,aktor huru hara prabowo lengser perintah jokowi nyata
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech,bu guru enak jablay guru sekolah dasar kayak nikmat pecun guru
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,Hate Speech,lawan bicara gue intelek kayak otak kencing onta gue aku hadis nabi sahih kafir kayak tolak ahlun nar
Belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,0,0,0,0,0,0,Normal,pikir ampas banget
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1,0,0,0,0,0,0,0,0,0,0,Abusive,ari bek rapi monyet
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,1,0,1,0,0,0,1,0,0,1,0,Hate Speech,cowok gantle gantle nama banci
USER Slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0,Normal,alga mnr bom
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1,0,0,0,0,0,0,0,0,0,0,Abusive,anjing gue jarang ambek takut wkwk gue budak cinta
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,0,0,0,0,0,0,Normal,noob peluang sakit nya gede
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,0,0,0,0,0,0,Normal,joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,0,0,0,0,0,0,0,0,0,0,Normal,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,0,0,0,0,0,0,0,0,0,0,Normal,bandara udara internasional kertajati bangun gubernur ahmad heryawan anggar dapat dan belanja negara perintah pusat insya allah operasi
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",0,0,0,0,0,0,0,0,0,0,0,0,Normal,gubernur presiden rakyat
Ini si USER kerjaannya delay mulu! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech,kerja delay mulu setan
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,Normal,turut pintu sorga pintu sorga asli pintu hati modus banget
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech,nenek nenek heran cebong bohong
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,0,0,0,0,0,0,0,0,0,0,0,Normal,habis sahur jam si bayi nete lemas
USER Gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,0,0,0,0,0,0,Normal,kak emak suka sipit wkwk
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,1,0,0,0,0,0,0,0,0,0,0,Abusive,laku homo jaman now ngentot live blued
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",0,0,0,0,0,0,0,0,0,0,0,0,Normal,kak gue orang jawa maaf gue orang palembang kakak ajar aksara jawa kelak ajar budaya palembang
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech,pegawai guardian training kayak mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,1,0,0,0,0,0,0,0,0,0,0,Abusive,bajing luka lady terima ganjar ratus kali lipat sanji
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,0,0,0,0,0,0,0,0,0,0,0,Normal,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota diri
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,0,0,0,0,0,0,0,0,0,0,0,0,Normal,presiden ri jokowi luar biasa kerja nya tulus ikhlas
Edan emang goollnya fabiano!!',0,1,0,0,0,0,0,0,0,0,0,0,Abusive,edan tuju fabiano
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,Hate Speech,tidak pernah dalam al alquran bang pantas saja mulut kayak orang kafir bejat hina farhat abbas law
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",0,0,0,0,0,0,0,0,0,0,0,0,Normal,beda wibawa wibawa gubernur indonesia masya allah
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",0,0,0,0,0,0,0,0,0,0,0,0,Normal,keanekaragaman budaya suku agama sungguh kaya djarot hadap serta rakercabsu
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,iya islam di lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",0,0,0,0,0,0,0,0,0,0,0,0,Normal,cipta situasi aman dan tertib masyarakat jelang pilih kepala daerah kepala polisi sektor konang silaturahmi tokoh masyarakat
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,0,0,0,0,0,0,0,0,0,0,0,0,Normal,positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",0,0,0,0,0,0,0,0,0,0,0,0,Normal,sembahyang adopsi tradisi lokal kerja hindu nistilahsembahyangpun lahir tradisi ritusmenyembahhyang tunggal denganshalat sembah all
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech,ahok the best abai kaum kampret otak micin
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech,otak tempurung laden lawan dungu makan hehe
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0,Hate Speech,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman brt pulang ky nhn ngeden dungu
pinokio umur 3 taonan tuh. #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,pinokio umur tahun
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,cerita silat lae kho merah muda indonesia liang ie shen tulis cina
RT USER benci sekali dgn Umat Islam,1,0,0,1,1,0,0,0,0,0,1,0,Hate Speech,benci umat islam
